wsi,has_angiogenesis,angiogenesis_path,has_cell_cycle,cell_cycle_path,has_epithelial_mesenchymal_transition,epithelial_mesenchymal_transition_path,has_immunosuppression,immunosuppression_path,has_t_cell_mediated_cytotoxicity,t_cell_mediated_cytotoxicity_path
TCGA-D8-A1XA-01A-01-TS1.c45c6afa-5fa6-4605-acfb-decde138754f,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-D8-A1XA-01A-01-TS1.c45c6afa-5fa6-4605-acfb-decde138754f,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-D8-A1XA-01A-01-TS1.c45c6afa-5fa6-4605-acfb-decde138754f,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-D8-A1XA-01A-01-TS1.c45c6afa-5fa6-4605-acfb-decde138754f,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-D8-A1XA-01A-01-TS1.c45c6afa-5fa6-4605-acfb-decde138754f
TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad
TCGA-AN-A0FK-01A-01-BSA.532b125c-98bb-44d7-a041-fb2506b70e26,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-AN-A0FK-01A-01-BSA.532b125c-98bb-44d7-a041-fb2506b70e26,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-AN-A0FK-01A-01-BSA.532b125c-98bb-44d7-a041-fb2506b70e26,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AN-A0FK-01A-01-BSA.532b125c-98bb-44d7-a041-fb2506b70e26,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AN-A0FK-01A-01-BSA.532b125c-98bb-44d7-a041-fb2506b70e26
TCGA-EW-A2FW-01A-01-TSA.93F3FA5A-4797-489A-B863-4C30CC923B90,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-EW-A2FW-01A-01-TSA.93F3FA5A-4797-489A-B863-4C30CC923B90,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-EW-A2FW-01A-01-TSA.93F3FA5A-4797-489A-B863-4C30CC923B90,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-EW-A2FW-01A-01-TSA.93F3FA5A-4797-489A-B863-4C30CC923B90,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-EW-A2FW-01A-01-TSA.93F3FA5A-4797-489A-B863-4C30CC923B90
TCGA-E2-A1IU-01A-01-TSA.ba60c639-0f0b-4ccf-8990-d561c67794a8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-E2-A1IU-01A-01-TSA.ba60c639-0f0b-4ccf-8990-d561c67794a8,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-E2-A1IU-01A-01-TSA.ba60c639-0f0b-4ccf-8990-d561c67794a8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-E2-A1IU-01A-01-TSA.ba60c639-0f0b-4ccf-8990-d561c67794a8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-E2-A1IU-01A-01-TSA.ba60c639-0f0b-4ccf-8990-d561c67794a8
TCGA-AQ-A54N-01A-01-TS1.99108B68-B143-43A7-8411-2504D24EA0FA,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-AQ-A54N-01A-01-TS1.99108B68-B143-43A7-8411-2504D24EA0FA,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-AQ-A54N-01A-01-TS1.99108B68-B143-43A7-8411-2504D24EA0FA,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AQ-A54N-01A-01-TS1.99108B68-B143-43A7-8411-2504D24EA0FA,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AQ-A54N-01A-01-TS1.99108B68-B143-43A7-8411-2504D24EA0FA
TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A7-A3IZ-01A-01-TSA.EFEAFBBB-4EED-4894-BAFD-77AAC5783062
TCGA-AO-A1KS-01A-01-TSA.45cfd1b6-e36a-4262-889a-e8540d9244f0,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-AO-A1KS-01A-01-TSA.45cfd1b6-e36a-4262-889a-e8540d9244f0,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-AO-A1KS-01A-01-TSA.45cfd1b6-e36a-4262-889a-e8540d9244f0,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-AO-A1KS-01A-01-TSA.45cfd1b6-e36a-4262-889a-e8540d9244f0,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-AO-A1KS-01A-01-TSA.45cfd1b6-e36a-4262-889a-e8540d9244f0
TCGA-E2-A15S-01A-01-TSA.99332ce7-e3ab-4891-a612-fa51b84869f8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-E2-A15S-01A-01-TSA.99332ce7-e3ab-4891-a612-fa51b84869f8,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-E2-A15S-01A-01-TSA.99332ce7-e3ab-4891-a612-fa51b84869f8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-E2-A15S-01A-01-TSA.99332ce7-e3ab-4891-a612-fa51b84869f8,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-E2-A15S-01A-01-TSA.99332ce7-e3ab-4891-a612-fa51b84869f8
TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/angiogenesis/TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78,0,,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/epithelial_mesenchymal_transition/TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/immunosuppression/TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78,1,/autofs/space/crater_001/projects/breast-cancer-pathology/analysis/heatmaps/neg/t_cell_mediated_cytotoxicity/TCGA-A8-A06Z-01A-01-BS1.d29f4573-c196-4e24-813d-131a00f55b78
